temperature,humidity,cloud_cover,irradiance,hour,month,solar_output
18.2,80,2,590.6,13,8,3.52
22.2,43,36,321.2,9,1,2.29
23.3,86,39,23.2,18,6,0.43
28.9,77,71,316.7,11,5,1.74
28.1,88,39,602.9,10,6,3.58
8.6,76,55,140.0,8,10,0.78
14.1,83,22,4.2,18,12,0.05
29.4,65,10,633.2,15,5,3.78
23.6,68,63,204.4,16,6,1.33
31.2,45,7,254.6,7,5,0.91
10.8,85,92,53.6,14,11,0.39
12.6,51,93,43.7,15,12,0.18
30.5,50,55,412.2,14,5,2.28
26.6,83,59,0.0,6,4,0.16
34.7,50,9,659.6,15,3,4.1
33.4,37,38,275.7,8,3,1.74
31.5,78,27,678.2,13,4,3.86
12.6,45,48,240.8,11,9,1.23
26.1,88,35,497.7,10,2,2.37
9.9,84,12,352.5,10,9,2.15
20.9,60,95,69.6,11,1,0.53
17.2,71,35,459.9,12,1,2.74
30.2,39,100,34.6,6,5,0.39
27.6,61,25,602.1,14,6,3.31
23.9,88,85,129.4,8,6,0.74
26.9,63,3,662.1,9,3,3.89
16.4,38,94,84.7,15,7,0.49
15.7,46,81,11.5,6,9,0.3
9.8,40,63,0.0,18,11,0.0
14.4,61,37,257.1,16,12,1.48
10.9,39,87,128.0,15,10,0.58
15.8,51,86,101.9,8,8,0.88
27.2,86,21,157.1,7,6,0.65
13.9,46,1,168.0,7,12,0.9
11.6,33,30,48.9,6,8,0.63
11.1,77,10,422.3,13,12,2.63
26.9,81,91,171.6,8,5,1.02
12.1,76,45,76.7,8,8,0.46
9.1,54,95,91.3,11,10,0.36
18.9,88,61,72.7,18,12,0.42
28.9,50,68,369.1,13,4,2.11
8.9,66,63,0.0,18,10,0.04
15.0,67,9,471.1,14,8,2.53
8.8,78,39,317.4,14,10,1.98
14.8,30,23,294.4,9,12,1.97
26.6,54,98,47.8,10,2,0.24
17.7,80,43,66.1,7,12,0.53
18.0,65,59,51.3,16,12,0.37
34.8,46,61,419.8,14,5,2.3
13.0,70,86,70.4,13,9,0.21
36.7,53,16,417.6,8,4,2.2
9.0,31,64,138.8,16,11,0.89
31.3,69,94,15.0,17,6,0.08
18.9,44,94,38.0,18,1,0.48
10.5,61,56,137.2,14,9,0.98
19.6,68,54,227.8,8,1,1.52
28.0,88,52,459.3,14,5,2.78
30.3,35,55,126.3,7,4,0.55
13.3,30,97,24.6,17,12,0.21
31.2,76,8,565.5,15,3,3.32
23.3,52,21,602.4,14,6,3.39
27.0,87,12,725.3,13,2,4.56
33.2,68,88,109.9,14,3,0.86
27.6,90,47,446.1,10,5,2.42
13.7,86,17,180.0,16,9,0.95
26.7,46,75,107.8,16,2,0.53
16.8,63,39,0.0,7,10,0.12
13.5,88,16,508.6,13,8,3.15
27.4,70,14,185.2,17,2,1.11
6.5,58,14,257.9,11,11,1.6
27.2,38,78,383.0,13,5,2.02
21.1,42,62,216.8,16,7,1.38
19.2,35,38,296.0,10,8,1.76
16.3,35,12,399.4,15,1,2.26
27.4,49,80,81.8,7,6,0.18
19.8,81,31,497.6,11,1,2.99
20.4,82,8,710.2,10,2,4.33
20.5,32,39,75.6,17,1,0.11
16.5,46,19,54.9,18,11,0.33
25.3,78,89,25.8,17,5,0.18
9.7,41,90,99.9,10,10,0.49
8.4,77,84,0.0,18,9,0.08
23.6,76,81,132.4,6,6,0.77
15.6,74,76,70.8,7,11,0.48
10.5,84,79,267.1,13,11,1.71
24.2,30,72,41.4,18,1,0.36
23.3,46,62,0.0,18,1,0.2
23.9,32,75,179.6,8,2,1.15
9.8,55,43,235.8,15,9,1.32
26.0,44,37,338.8,8,3,1.9
17.2,65,82,208.7,13,1,1.04
29.7,61,59,472.9,13,5,2.81
19.9,61,70,17.4,7,7,0.37
23.1,33,98,43.6,13,6,0.19
10.4,47,47,119.0,16,12,0.8
20.3,78,17,6.4,18,1,0.0
27.3,48,15,0.0,18,5,0.04
28.1,72,54,0.0,6,5,0.25
25.9,81,38,579.0,11,6,3.6
21.2,64,67,382.2,13,3,1.98
24.1,69,58,237.8,8,5,1.54
26.9,43,88,127.7,13,7,0.88
27.1,87,95,17.1,17,5,0.14
21.1,62,61,0.0,6,5,0.13
24.3,43,12,474.8,16,5,2.68
17.5,63,80,20.8,16,10,0.14
7.9,90,100,45.1,14,10,0.49
32.1,84,5,83.1,18,3,0.69
20.4,33,82,75.1,16,1,0.56
27.2,53,76,48.0,18,5,0.11
13.7,88,59,207.2,14,9,1.04
12.8,58,89,136.2,10,1,0.84
24.3,48,13,620.8,15,3,3.76
28.5,35,94,104.1,9,4,0.6
16.0,86,53,184.8,16,1,0.95
18.3,62,3,630.5,11,1,3.87
17.6,78,38,95.7,17,8,0.6
25.4,69,71,277.6,12,2,1.72
19.0,48,24,423.7,10,12,2.66
15.6,82,76,1.9,16,8,0.0
23.0,30,31,24.1,18,7,0.05
9.8,34,58,152.0,15,10,1.13
8.2,56,62,165.4,14,10,0.84
29.4,45,37,334.7,8,2,1.88
22.9,35,91,139.5,12,6,1.08
26.0,69,52,332.5,15,6,1.88
31.0,42,93,24.8,15,3,0.13
13.9,77,66,68.6,16,11,0.33
21.5,64,27,600.0,10,2,3.24
18.2,48,2,473.1,12,12,2.81
17.1,41,97,31.0,7,1,0.0
27.4,45,79,139.8,9,6,0.88
16.6,88,21,109.9,7,12,0.88
31.1,72,95,0.0,18,5,0.0
7.7,39,37,0.0,18,11,0.0
13.1,54,71,60.4,17,9,0.45
23.3,49,71,250.2,12,1,1.06
20.6,60,61,112.3,7,7,0.94
26.2,33,56,39.7,18,5,0.31
31.4,73,5,519.6,16,5,3.25
25.3,52,77,6.7,6,2,0.0
6.3,31,31,338.3,14,11,1.94
26.0,85,98,0.0,6,3,0.0
18.4,51,9,666.8,13,7,4.43
29.5,80,2,239.0,7,6,1.67
19.0,86,58,79.7,17,12,0.5
29.0,66,75,289.1,13,2,1.76
25.7,37,48,0.0,18,6,0.13
27.7,36,58,143.3,8,2,1.33
21.6,43,30,684.8,11,2,4.19
25.0,85,92,64.7,8,2,0.4
12.7,84,68,161.6,12,11,0.9
25.4,32,61,251.0,15,3,1.55
25.6,79,51,324.2,14,2,1.82
35.1,45,88,49.4,7,4,0.38
13.0,84,40,55.8,17,9,0.05
27.8,48,30,160.7,17,6,0.9
12.6,80,84,152.3,10,1,1.06
19.7,47,83,124.5,18,8,0.82
14.4,81,21,413.9,11,12,2.39
17.7,45,3,560.6,9,7,3.32
9.5,37,12,334.4,9,10,2.21
24.2,89,44,447.6,9,3,2.44
23.1,62,41,102.6,7,1,0.37
27.7,78,48,317.4,9,5,1.7
27.8,41,19,438.4,16,4,2.6
9.5,82,76,50.9,6,10,0.03
18.4,40,80,127.2,17,8,0.95
20.4,34,53,306.1,11,1,1.65
5.8,56,35,0.0,6,10,0.04
21.4,41,96,20.1,15,1,0.0
12.2,46,0,499.6,11,12,2.98
23.5,35,14,33.2,6,4,0.0
19.5,62,76,133.9,11,8,1.0
30.0,34,16,539.7,15,5,2.98
24.8,86,23,690.9,13,2,3.93
24.0,57,57,229.5,16,6,1.85
32.9,43,71,107.2,7,5,0.73
34.3,34,90,9.2,7,2,0.25
12.7,83,22,64.7,18,11,0.48
8.3,85,45,68.5,17,11,0.32
10.9,88,71,231.4,9,11,1.13
30.0,62,7,457.7,16,3,2.63
4.3,79,58,0.0,8,9,0.0
21.0,77,89,0.0,9,7,0.0
21.3,70,58,31.2,18,7,0.0
15.3,48,12,166.7,17,11,1.02
28.7,51,38,520.1,12,6,3.39
15.3,34,100,105.0,18,8,0.74
34.5,88,27,461.6,16,4,2.64
21.1,31,88,10.5,6,8,0.06
30.1,59,60,471.3,11,4,2.16
16.3,76,15,282.6,8,8,1.61
6.0,68,1,312.6,16,9,1.59
24.3,33,81,218.0,15,3,1.34
26.1,62,16,831.0,12,3,4.91
10.0,42,29,263.6,15,11,1.41
21.7,49,12,223.1,7,2,1.36
9.9,83,95,61.2,7,10,0.39
27.4,36,92,0.0,18,3,0.3
31.9,44,93,126.4,9,3,0.87
27.2,52,81,23.0,6,5,0.18
21.8,43,12,424.4,8,5,2.36
25.4,52,42,39.2,18,2,0.02
15.0,48,84,212.3,14,12,1.39
7.4,83,93,72.1,12,10,0.39
25.3,58,20,731.6,12,6,4.43
25.4,85,54,80.3,18,5,0.68
26.0,49,80,8.1,18,6,0.0
27.9,58,39,182.7,16,1,1.36
23.2,53,82,208.6,9,5,1.45
9.8,47,14,0.0,7,9,0.0
13.0,39,72,22.0,9,12,0.6
8.7,70,51,225.7,11,10,1.42
28.1,86,73,28.5,16,2,0.07
21.6,37,94,0.0,16,1,0.1
12.5,55,52,87.4,8,10,0.33
11.4,58,86,0.0,6,11,0.11
7.4,39,51,54.2,17,9,0.17
6.7,46,29,341.2,13,10,2.45
13.6,31,32,93.0,17,9,0.57
11.9,35,56,0.0,18,9,0.13
28.8,87,51,466.0,10,6,2.6
15.9,34,8,370.6,10,8,2.39
7.8,57,53,126.2,16,11,0.75
18.4,70,0,418.0,9,1,2.23
11.7,34,43,249.5,11,10,1.45
32.1,47,98,43.1,8,4,0.64
22.6,55,74,256.6,14,1,1.71
11.9,49,97,96.5,10,8,0.5
16.4,70,79,71.8,8,1,0.06
28.1,78,8,406.4,16,3,2.24
34.3,56,31,0.0,6,4,0.0
12.9,78,14,433.7,15,8,2.23
26.4,41,11,279.2,17,6,1.82
11.4,36,96,4.1,11,10,0.04
17.3,88,77,83.7,7,12,0.86
25.0,32,56,0.0,18,7,0.0
19.7,39,7,235.3,8,8,1.41
23.2,63,71,0.0,6,2,0.0
3.7,54,26,318.8,14,10,1.79
9.3,64,61,127.2,13,11,0.72
15.2,45,11,149.7,17,8,0.82
27.6,31,64,105.4,7,3,0.64
25.9,89,41,105.5,17,7,0.83
28.7,53,61,300.0,16,3,1.95
22.0,39,10,703.3,13,7,4.07
12.0,67,42,63.6,17,11,0.38
14.0,51,94,56.1,14,12,0.5
19.2,55,16,0.0,6,2,0.21
9.8,72,96,0.0,18,10,0.0
34.8,84,31,628.4,10,6,3.76
24.9,68,92,153.0,13,3,0.98
23.2,56,84,153.5,16,3,0.71
17.1,58,84,0.0,7,9,0.16
22.2,76,39,299.5,9,7,1.83
29.2,67,22,792.9,12,5,4.33
19.1,49,55,144.2,8,12,0.81
7.5,56,5,41.2,18,10,0.26
19.7,70,85,12.4,17,7,0.0
14.2,83,49,125.6,10,9,1.0
26.3,49,36,513.2,13,1,3.32
16.5,73,63,31.6,17,7,0.11
28.8,48,53,339.7,15,6,1.91
11.1,49,71,94.7,8,10,0.54
15.5,64,48,137.7,9,12,0.79
11.3,76,98,97.4,14,9,0.47
15.8,31,10,608.7,12,1,2.91
32.9,59,87,2.8,6,4,0.37
9.0,82,48,46.8,17,9,0.28
26.8,63,20,661.0,9,4,3.9
12.7,51,65,184.6,9,10,1.17
31.0,32,62,276.8,14,3,1.6
11.6,35,82,224.3,11,9,1.26
28.2,44,27,523.3,14,2,2.9
34.3,56,16,326.7,17,4,1.52
28.9,39,5,771.3,11,6,4.28
23.4,38,18,671.0,11,2,3.8
18.0,62,55,228.2,10,8,1.5
15.6,61,27,340.5,10,8,2.19
25.2,77,65,201.4,7,1,1.03
14.6,35,37,350.5,13,12,1.57
27.6,70,36,611.6,13,3,3.63
8.2,88,67,83.3,16,10,0.42
11.9,65,85,0.0,18,9,0.0
30.1,88,89,79.9,6,5,0.66
26.5,89,48,392.8,13,6,2.37
31.0,31,42,508.0,10,4,2.78
12.0,58,35,117.7,7,10,0.47
24.3,33,57,109.3,7,2,0.6
8.7,30,12,406.7,11,11,2.26
12.1,48,51,225.4,16,8,1.34
14.3,55,57,50.2,18,11,0.51
26.4,54,31,537.6,14,6,2.93
23.1,39,80,104.5,6,5,0.64
14.6,82,99,0.0,17,9,0.18
25.6,44,59,312.1,11,1,1.85
26.5,88,82,216.3,14,5,1.43
26.0,51,57,394.7,13,6,2.3
27.2,80,98,3.2,16,5,0.05
26.9,77,55,335.4,11,6,2.09
21.5,50,27,342.6,8,6,1.94
19.8,88,0,644.5,13,7,4.26
